集保專區-玉山證券-定期定額商品-台股
="股票名稱",="日期",="收盤價",="漲跌幅(%)",="殖利率(%)",="波動度(%)",="近一個月報酬(%)",="今年以來報酬(%)",
="(3035) 智原",="2023/10/05",321.00,5.94,1.56,3.54,-10.08,131.49,
="(3036) 文曄",="2023/10/05",119.00,6.73,3.61,1.87,63.69,107.24,
="(3037) 欣興",="2023/10/05",172.50,-0.86,4.63,2.90,-7.51,50.80,
="(3044) 健鼎",="2023/10/05",199.50,-3.39,3.73,2.34,2.31,125.92,
="(3045) 台灣大",="2023/10/05",94.40,0.96,4.56,0.75,0.85,4.14,
="(3189) 景碩",="2023/10/05",108.50,1.40,5.97,2.24,-0.46,10.11,
="(3231) 緯創",="2023/10/05",107.00,0.94,2.43,3.35,-4.89,273.18,
="(3406) 玉晶光",="2023/10/05",385.00,2.39,3.12,2.05,-3.02,18.35,
="(3443) 創意",="2023/10/05",1425.00,1.79,0.98,3.97,-1.04,124.36,
="(3481) 群創",="2023/10/05",12.55,0.40,0,2.18,-12.24,11.79,
="(3532) 台勝科",="2023/10/05",149.00,0.34,4.90,2.12,1.71,14.78,
="(3533) 嘉澤",="2023/10/05",838.00,1.45,3.00,2.33,-4.45,5.05,
="(3653) 健策",="2023/10/05",643.00,0.16,1.81,2.73,0.63,74.20,
="(3661) 世芯-KY",="2023/10/05",2710.00,0.74,0.48,3.77,10.07,245.72,
="(3702) 大聯大",="2023/10/05",61.50,0.33,6.26,1.08,11.41,37.16,
="(3711) 日月光投控",="2023/10/05",112.00,2.28,7.85,1.79,-5.49,28.50,
="(3714) 富采",="2023/10/05",43.90,2.45,0,1.82,-5.39,-1.90,
="(4904) 遠傳",="2023/10/05",72.80,0.97,4.46,1.02,2.68,15.36,
="(4919) 新唐",="2023/10/05",126.50,1.20,5.53,2.40,-1.56,15.70,
="(4938) 和碩",="2023/10/05",77.70,1.97,5.15,1.36,0,29.17,
="(4958) 臻鼎-KY",="2023/10/05",98.00,0.62,6.12,1.51,0.72,-1.51,
="(4961) 天鈺",="2023/10/05",272.50,-2.15,3.12,2.91,15.03,66.29,
="(5269) 祥碩",="2023/10/05",1290.00,4.45,1.55,3.50,25.24,96.54,
="(5522) 遠雄",="2023/10/05",58.80,0.68,8.50,1.16,2.80,8.71,
="(5871) 中租-KY",="2023/10/05",177.50,0.28,3.72,2.13,-0.84,-13.92,
="(5876) 上海商銀",="2023/10/05",42.40,-0.12,4.25,1.14,-0.70,0.17,
="(5880) 合庫金",="2023/10/05",25.30,0.80,3.95,0.86,-3.80,3.94,
="(6116) 彩晶",="2023/10/05",11.60,2.20,0,1.94,-6.83,4.04,
="(6176) 瑞儀",="2023/10/05",124.00,-0.40,8.06,1.29,0.40,28.55,
="(6213) 聯茂",="2023/10/05",94.80,0.96,3.16,2.56,-0.11,36.49,
="(6239) 力成",="2023/10/05",100.50,-1.47,6.97,1.27,-1.95,35.48,
="(6271) 同欣電",="2023/10/05",148.00,1.72,7.28,2.16,8.03,5.15,
="(6409) 旭隼",="2023/10/05",1650.00,0,2.64,2.53,14.58,9.33,
="(6415) 矽力-KY",="2023/10/05",300.50,1.69,1.49,3.53,-1.48,-30.55,
="(6505) 台塑化",="2023/10/05",78.20,0.13,1.41,1.11,-3.22,-1.39,
="(6531) 愛普",="2023/10/05",383.50,-0.65,1.83,3.35,8.33,137.42,
="(6592) 和潤企業",="2023/10/05",130.00,1.96,3.46,1.56,0,43.40,
="(6669) 緯穎",="2023/10/05",1620.00,1.89,3.09,3.56,3.85,112.34,
="(6781) AES-KY",="2023/10/05",625.00,0.64,3.04,2.82,-3.70,-0.41,
="(8046) 南電",="2023/10/05",260.50,-1.33,6.91,2.65,5.04,22.26,
="(8454) 富邦媒",="2023/10/05",510.00,2.00,3.14,2.55,-2.49,-10.73,
="(8464) 億豐",="2023/10/05",315.00,2.77,3.49,2.12,1.61,10.50,
="(9904) 寶成",="2023/10/05",28.55,0,4.55,1.26,-1.55,-12.88,
="(9910) 豐泰",="2023/10/05",189.50,0.80,4.70,1.90,7.67,6.65,
="(9914) 美利達",="2023/10/05",178.50,1.42,3.92,2.02,-10.97,10.51,
="(9917) 中保科",="2023/10/05",108.00,0.93,4.63,1.17,1.89,12.76,
="(9921) 巨大",="2023/10/05",179.50,-0.28,4.35,1.95,-9.80,-6.90,
="(9941) 裕融",="2023/10/05",180.00,0.28,3.67,1.34,-1.10,30.78,
="(9945) 潤泰新",="2023/10/05",34.25,0.74,0,1.72,-12.82,-26.63,
